"title","url","published_at","tags_json","tags_sc","published_at_detail","thumbnail_url"
"지도 위 움직이는 지하철…카카오맵, 초정밀 지하철 서비스 오픈","https://www.kakaocorp.com/page/detail/11586","2025-06-09","[""카카오맵"", ""초정밀지하철"", ""실시간위치""]","카카오맵; 초정밀지하철; 실시간위치","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/524cdbd7019700001.jpg?type=thumb&opt=C800x400"
"카카오, 세계 환경의 날 맞아 종이팩 아이디어 공모전 등 다양한 캠페인 진행","https://www.kakaocorp.com/page/detail/11583","2025-06-05","[""공모전"", ""새가버치"", ""카카오메이커스""]","공모전; 새가버치; 카카오메이커스","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/3d31f520019700001.jpg?type=thumb&opt=C800x400"
"카카오-KISA, 중소사업자 대상 개인정보 보호 온라인 교육 진행","https://www.kakaocorp.com/page/detail/11582","2025-06-04","[""개인정보보호안내서"", ""중소사업자상생"", ""카카오비즈니스"", ""카카오비즈니스""]","개인정보보호안내서; 중소사업자상생; 카카오비즈니스; 카카오비즈니스","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/3829da64019700001.png?type=thumb&opt=C800x400"
"카카오프렌즈, 스핀오프 캐릭터 '춘구마' 공개 ... 무료 이모티콘 프로모션 진행","https://www.kakaocorp.com/page/detail/11569","2025-05-27","[""카카오프렌즈"", ""캐릭터"", ""춘식이"", ""IP""]","카카오프렌즈; 캐릭터; 춘식이; IP","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/0f5d3bd0019700001.png?type=thumb&opt=C800x400"
"카카오, AI 안전성 검증 위한 가드레일 모델 ‘Kanana Safeguard’ 공개... 생태계 활성화 위해 국내 기업 최초 오픈소스로 배포","https://www.kakaocorp.com/page/detail/11568","2025-05-27","[""카카오"", ""Kanana"", ""오픈소스"", ""AI모델""]","카카오; Kanana; 오픈소스; AI모델","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/0ef9bf1a019700001.png?type=thumb&opt=C800x400"
"카카오, 자체 개발 ‘Kanana’ 언어모델 4종 오픈소스 공개... 상업 라이선스 적용","https://www.kakaocorp.com/page/detail/11566","2025-05-23","[""카카오"", ""카나나"", ""오픈소스공개"", ""언어모델"", ""AI""]","카카오; 카나나; 오픈소스공개; 언어모델; AI","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/fa6611a5019600001.jpg?type=thumb&opt=C800x400"
"카카오, 상생의 기록 담은 ‘사회공헌 리포트 2025’ 첫 발행","https://www.kakaocorp.com/page/detail/11564","2025-05-22","[""ESG"", ""사회공헌"", ""사회공헌리포트"", ""상생""]","ESG; 사회공헌; 사회공헌리포트; 상생","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/f255a4d3019600001.png?type=thumb&opt=C800x400"
"카카오, 콘텐츠CIC 분사 … ‘다음준비신설법인’ 설립","https://www.kakaocorp.com/page/detail/11565","2025-05-22","[""다음준비신설법인"", ""콘텐츠CIC"", ""다음"", ""양주일"", ""분사""]","다음준비신설법인; 콘텐츠CIC; 다음; 양주일; 분사","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/f589fc74019600001.png?type=thumb&opt=C800x400"
"다음(Daum), 오리지널 숏드라마 콘텐츠 ‘숏드’ 론칭","https://www.kakaocorp.com/page/detail/11563","2025-05-21","[""다음"", ""루프"", ""숏드"", ""숏드라마"", ""콘텐츠CIC""]","다음; 루프; 숏드; 숏드라마; 콘텐츠CIC","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/f167f869019600001.png?type=thumb&opt=C800x400"
"카카오, 17번째 ‘MVP 파트너스데이' 개최… 최우수 협력사들과 상생 협력 다져","https://www.kakaocorp.com/page/detail/11562","2025-05-21","[""동반성장"", ""파트너스데이"", ""ESG""]","동반성장; 파트너스데이; ESG","","https://t1.kakaocdn.net/kakaocorp/kakaocorp/admin/news/f05c1667019600001.jpg?type=thumb&opt=C800x400"
